projectId,group,formatKey,autoStatus,humanStatus,validatorCorrect,notes,previewPath,criticalIssues,warningIssues
"8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5","wildberries","wb-card","ready","","","","experiment/results/previews/8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5_wb-card.svg","",""
"8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5","wildberries","wb-infographic","ready","","","","experiment/results/previews/8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5_wb-infographic.svg","",""
"8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5","ozon","ozon-card","ready","","","","experiment/results/previews/8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5_ozon-card.svg","",""
"8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5","ozon","ozon-fresh-square","ready","","","","experiment/results/previews/8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5_ozon-fresh-square.svg","",""
"8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5","yandex-market","yandex-market-card","ready","","","","experiment/results/previews/8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5_yandex-market-card.svg","",""
"8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5","yandex-market","yandex-market-banner","ready","","","","experiment/results/previews/8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5_yandex-market-banner.svg","",""
"8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5","yandex-market","yandex-market-stretch","ready","","","","experiment/results/previews/8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5_yandex-market-stretch.svg","",""
"8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5","yandex-market","yandex-market-vertical","ready","","","","experiment/results/previews/8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5_yandex-market-vertical.svg","",""
"8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5","avito","avito-listing","ready","","","","experiment/results/previews/8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5_avito-listing.svg","",""
"8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5","avito","avito-fullscreen","minor","","","","experiment/results/previews/8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5_avito-fullscreen.svg","","image: Image below fold (safe area) | image: outside canvas (12.0%)"
"8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5","avito","avito-skyscraper","ready","","","","experiment/results/previews/8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5_avito-skyscraper.svg","",""
"8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5","yandex-rsy","yandex-rsy-240x400","ready","","","","experiment/results/previews/8cd94f5c-fcdd-4a64-80c5-f90e04d9e3e5_yandex-rsy-240x400.svg","",""
